[zone]|en|fi|pt|ru|zh|ja|ko|de
Act_08_02|Flooded Plains|Tulinut tasanko|Planícies Inundadas|Затопленные Равнины|泛滥的平原|氾濫した平原|침수 평야|Überflutete Ebenen
Act_08_03|Forgotten Caves|Unohdetut luolat|Cavernas Esquecidas|Забытые Пещеры|被遗忘的洞穴|忘れられた洞窟|잊혀진 동굴|Vergessene Höhlen
Act_08_04|Camp of Souls|Sielujen leiri|Acampamento das almas|Лагерь Душ|灵魂营|魂のキャンプ|영혼의 캠프|Lager der Seelen
Act_08_05|Helheim|Helheim|Helheim|Хельхейм|海尔海姆|ヘルヘイム|헬헤임|Helheim
||||||||
Act_08_Valkyrie|Plain of Ida|Idan tasanko|Plain of Ida|Plain of Ida|Plain of Ida|Plain of Ida|Plain of Ida|Plain of Ida
Act_08_Valhalla|Gates of Valhalla|Valhallan portit|Portões de Valhalla|Врата Вальхаллы|瓦尔哈拉之门|ヴァルハラの門|발할라의 문|Tore von Walhalla
Act_08_River|River Gjöll|Gjöll-joki|Rio Gjöll|Река Гьёлль|杰尔河|ギョッル川|Gjöll 강|Fluss Gjöll
Act_08_Mevius_Intro|Memory of Mevius|Meviuksen muisto|Memória de Mevius|Память Мевиуса|记忆的Mevius|メビウスの記憶|뫼비우스의 기억|Erinnerung an Mevius
Act_08_Helheim|Gates of Helheim|Helheimin portti|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim|Gates of Helheim
Grindfest_Orres_Lair_rm|Örre's Lair|Örren pesä|Örre's Lair|Örre's Lair|Örre's Lair|Örre's Lair|Örre's Lair|Örre's Lair
Act_08_03_TrollQuest_Room_rm|Refugee Camp|Pakolaisleiri|Refugee Camp|Refugee Camp|Refugee Camp|Refugee Camp|Refugee Camp|Refugee Camp
||||||||
Act_01_Boss|King's Throne|||||||
Act_02_Boss|Death’s Breach|||||||
Act_03_Boss|Tomb of the Fallen King|||||||
Act_04_Boss|Altar of Lost Souls|||||||
Act_05_Boss|Emperor’s Chamber|||||||
Act_06_Boss|Seventh Layer of Hell|Helvetin seitsemäs taso|Sétima camada do inferno|Седьмой Круг Ада|地狱第七层|地獄の第七層|지옥의 7층|Siebte Schicht der Hölle
Act_07_Boss|The Verge of Insanity|Hulluuden Raja|El borde de la Locura|Грань Безумия|疯狂的边缘|狂気の瀬戸際|광기의 직전|Der Rand des Wahnsinns
Act_08_Boss|Throne of Helheim|||||||
||||||||
Act_01_Boss_Dungeon_01|Northern Post|||||||
Act_01_Boss_Dungeon_02|Old Mausoleum|||||||
Act_01_Boss_Dungeon_03|King’s Tomb|||||||
||||||||
Act_02_Boss_Dungeon_01|Glacial Trail|||||||
Act_02_Boss_Dungeon_02|Freezing Steppes|||||||
Act_02_Boss_Dungeon_03|Frozen Dungeon|||||||
||||||||
Act_03_Boss_Dungeon_01|Sewers of Mos’Arathim|||||||
Act_03_Boss_Dungeon_02|Ra’s Labyrinth|||||||
Act_03_Boss_Dungeon_03|Tomb of Ancients|||||||
||||||||
Act_04_Boss_Dungeon_01|Lair of Corruption|||||||
Act_04_Boss_Dungeon_02|Maze of Shadows|||||||
Act_04_Boss_Dungeon_03|Chamber of Burning Souls|||||||
||||||||
Act_05_Boss_Dungeon_01|Temple of Fishes|||||||
Act_05_Boss_Dungeon_02|Underground Trench|||||||
Act_05_Boss_Dungeon_03|The Sacred Temple|||||||
||||||||
Act_06_Boss_Dungeon_01|Hollowing Sanctuary|||||||
Act_06_Boss_Dungeon_02|Sacrilegious Chappel|||||||
Act_06_Boss_Dungeon_03|Pathway to Hell|||||||
||||||||
Act_07_Boss_Dungeon_01|The Void|||||||
Act_07_Boss_Dungeon_02|Pathway of Souls|||||||
Act_07_Boss_Dungeon_03|The Waiting Room|||||||
||||||||
Act_08_Boss_Dungeon_01|Ruins of Helheim|Helheimin Rauniot|Ruins of Helheim|Ruins of Helheim|Ruins of Helheim|Ruins of Helheim|Ruins of Helheim|Ruins of Helheim
Act_08_Boss_Dungeon_02|Helheim Channel|||||||
Act_08_Boss_Dungeon_03|Vault of Ancients|||||||
||||||||
Town_01_rm|Town of Inoya|Inoyan kylä|Cidade de Inoya|Город Иноя|伊诺亚小镇|イノヤ町|이노야 마을|Stadt Inoya
Town_02_rm|Danethorpe|Danethorpe|Danethorpe|Данеторп|邓恩斯洛普|デーンソープ|데인소프|Danethorpe
Town_03_rm|Village of Mos'Arathim|Mos'Arathimin Kylä|Vila de Mos'Arathim|Деревня Мос'Арасим|摩斯奥拉斯姆村|モス・アラティム村|Mos'Arathim의 마을|Dorf von Mos'Arathim
Town_04_rm|Dhorn Farum|Dhorn Farum|Dhorn Farum|Дорн Фарум|迪霍法洛姆|ドーン・ファルム|돈 파룸|Dhorn Farum
Town_05_rm|Shujo Retreat|Shujon piilo|Retiro de Shujo|Лагерь Щуджё|修礁度假村|シュジョー・リトリート|슈조 휴양소|Shujo-Zuflucht
Town_06_rm|Dawn's Chapel|Aamun kappeli|Capela Dawn|Храм Рассвета|黎明的礼拜堂|夜明けのチャペル|새벽의 채플|Kapelle von Dawn
Town_07_rm|Astral Encampment|Astraalileiri|Acampamento Astral|Астральный Лагерь|星际营地|星の野営|별의 야영지|Astrales Feldlager
||||||||
Uber_Inoya_rm|Fallen Inoya|Tuhottu Inoya|Queda de inoya|Руины Иноя|陷落的伊诺亚|陥落したイノヤ|파괴된 이노야|Gefallenes Inoya
Sheep_rm|Sheeponia|Lampola|Sheeponia|Шипония|什普尼亚|シエポニア|양오니아|Sheeponia
PVP_Arena_1_rm|Battlefield|Taistelutanner|Campo de batalha|Поле битвы|战场|戦場|교전지|Schlachtfeld
Anniversary_rm|Old Tarethiel|Vanha Tarethiel|Velho Tarethiel|Старый Таретиэль|古老的塔雷蒂尔|老タレティエル|올드 타레티엘|Altes Tarethiel
Player_Hideout_rm|Player Hideout|Pelaajan piilopaikka|Esconderijo do jogador|Убежище|玩家藏身处|プレイヤーハイドアウト|플레이어 은신처|Spielerversteck
||||||||
Black_Tower_01_rm|Black Tower Level 1|Pimeä Torni Taso 1|Torre Negra Nível 1|Черная Башня, Уровень 1|黑塔 1级|黒の塔レベル 1|검은 탑 레벨 1|Schwarzer Turm Level 1
Black_Tower_02_rm|Black Tower Level 2|Pimeä Torni Taso 2|Torre Negra Nível 2|Черная Башня, Уровень 2|黑塔 2级|黒の塔レベル 2|검은 탑 레벨 2|Schwarzer Turm Level 2
Black_Tower_03_rm|Black Tower Level 3|Pimeä Torni Taso 3|Torre Negra Nível 3|Черная Башня, Уровень 3|黑塔 3级|黒の塔レベル 3|검은 탑 레벨 3|Schwarzer Turm Level 3
Black_Tower_04_rm|Black Tower Level 4|Pimeä Torni Taso 4|Torre Negra Nível 4|Черная Башня, Уровень 4|黑塔 3级|黒の塔レベル 4|검은 탑 레벨 4|Schwarzer Turm Level 4
Black_Tower_05_rm|Black Tower Level 5|Pimeä Torni Taso 5|Torre Negra Nível 5|Черная Башня, Уровень 5|黑塔 3级|黒の塔レベル 5|검은 탑 레벨 5|Schwarzer Turm Level 5
||||||||
Rat_Den_01_rm|Rat Den Level 1|Rottaluola Taso 1|Toca do Rato Nível 1|Крысиное Логово, Уровень 1|鼠洞 1级|ドブネズミの巣窟レベル 1|쥐 동굴 레벨 1|Rattenbau Level 1
Rat_Den_02_rm|Rat Den Level 2|Rottaluola Taso 2|Toca do Rato Nível 2|Крысиное Логово, Уровень 2|鼠洞 2级|ドブネズミの巣窟レベル 2|쥐 동굴 레벨 2|Rattenbau Level 2
||||||||
Frozen_Cellar_01_rm|Frozen Cellar Level 1|Jäätynyt Kellari Taso 1|Porão Congelado Nível 1|Ледяной Подвал, Уровень 1|冻地窖1级|フローズンセラー レベル1|냉동 저장실 레벨 1|Gefrorener Keller Level 1
Frozen_Cellar_02_rm|Frozen Cellar Level 2|Jäätynyt Kellari Taso 2|Porão Congelado Nível 2|Ледяной Подвал, Уровень 2|冻地窖2级|フローズンセラー レベル2|냉동 저장실 레벨 2|Gefrorener Keller Level 2
||||||||
Pumpkin_Cellar_01_rm|Pumpkin Cellar Level 1|Kurpitsakellari Taso 1|Porão de Abóbora Nível 1|Тыквенный Погреб, Уровень 2|南瓜地下室1级|パンプキンセラー レベル1|호박 저장실 레벨 1|Kürbiskeller Level 1
Pumpkin_Cellar_02_rm|Pumpkin Cellar Level 2|Kurpitsakellari Taso 2|Porão de Abóbora Nível Level 2|Тыквенный Погреб, Уровень 2|南瓜地下室2级|パンプキンセラー レベル2|호박 저장실 레벨 2|Kürbiskeller Level 2
||||||||
Abandoned_Mine_01_rm|Abandoned Mine|Hylätty Kaivos|Mina Abandonada|Заброшенная Шахта|废弃矿井|廃坑|버려진 광산|Verlassene Mine
||||||||
Forgotten_City_01_rm|Forgotten City Level 1|Kadonnut Kaupunki Taso 1|Cidade Esquecida Nível 1|Затерянный Город, Уровень 1|被遗忘的城市1级|忘却都市 レベル1|잊혀진 도시 레벨 1|Vergessene Stadt Level 1
Forgotten_City_02_rm|Forgotten City Level 2|Kadonnut Kaupunki Taso 2|Cidade Esquecida Nível 2|Затерянный Город, Уровень 2|被遗忘的城市2级|忘却都市 レベル2|잊혀진 도시 레벨 2|Vergessene Stadt Level 2
||||||||
Ancient_City_01_rm|Ancient City Level 1|Muinainen kaupunki, taso 1|Cidade Antiga Nível 1|Древний Город, Уровень 1|1级古城|古代都市レベル1|고대 도시 레벨 1|Antike Stadt Level 1
Ancient_City_02_rm|Ancient City Level 2|Muinainen kaupunki, taso 2|Cidade Antiga Nível 2|Древний Город, Уровень 2|2级古城|古代都市レベル2|고대 도시 레벨 2|Antike Stadt Level 2
Ancient_City_03_rm|Ancient City Level 3|Muinainen kaupunki, taso 3|Cidade Antiga Nível 3|Древний Город, Уровень 3|3级古城|古代都市レベル3|고대 도시 레벨 3|Antike Stadt Level 3
||||||||
Sand_Cave_01_rm|Sand Cave Level 1|Hiekkaluola, taso 1|Caverna de Areia Nível 1|Песчаная Пещера, Уровень 1|沙洞1级|砂の洞窟レベル1|모래 동굴 레벨 1|Sandhöhle Level 1
Sand_Cave_02_rm|Sand Cave Level 2|Hiekkaluola, taso 2|Sand Cave Nível 2|Песчаная Пещера, Уровень 2|沙洞2级|砂の洞窟レベル2|모래 동굴 2 층|Sandhöhle Level 2
||||||||
Cauflax_Tomb_01_rm|Cauflax Tomb Level 1|Cauflax-hauta, taso 1|Tumba Cauflax Nível 1|Гробница Кауфлакс, Уровень 1|卡夫拉克斯墓1级|コーフラックスの墓レベル1|Cauflax 무덤 레벨 1|Cauflax Grab Level 1
Cauflax_Tomb_02_rm|Cauflax Tomb Level 2|Cauflax-hauta, taso 2|Túmulo Cauflax Nível 2|Гробница Кауфлакс, Уровень 2|卡夫拉克斯墓2级|コーフラックスの墓レベル2|Cauflax 무덤 2 층|Cauflax Grab Level 2
Cauflax_Tomb_03_rm|Cauflax Tomb Level 3|Cauflax-hauta, taso 3|Tumba Cauflax Nível 3|Гробница Кауфлакс, Уровень 3|卡夫拉克斯墓3级|コーフラックスの墓レベル3|Cauflax 무덤 레벨 3|Cauflax Grab Level 3
||||||||
Devils_Hole_01_rm|Devil's Hole Level 1|Paholaisen reikä, taso 1|Buraco do Diabo Nível 1|Дьявольская Дыра, Уровень 1|魔鬼之穴1级|悪魔の穴レベル1|악마의 구멍 레벨 1|Teufelsloch Stufe 1
Devils_Hole_02_rm|Devil's Hole Level 2|Paholaisen reikä, taso 2|Buraco do Diabo Nível 2|Дьявольская Дыра, Уровень 2|魔鬼之穴2级|デビルズホールレベル2|악마의 구멍 레벨 2|Teufelsloch Stufe 2
Devils_Hole_03_rm|Devil's Hole Level 3|Paholaisen reikä, taso 3|Devil's Hole Nível 3|Дьявольская Дыра, Уровень 3|魔鬼之洞3级|デビルズホールレベル3|악마의 구멍 레벨 3|Teufelsloch Stufe 3
||||||||
Fuji_Crater_01_rm|Fuji Crater Level 1|Fuji-kraatteri, taso 1|Nível 1 da cratera Fuji|Кратер горы Фудзи, Уровень 1|富士火山口1级|富士クレーターレベル1|후지 분화구 레벨 1|Fuji-Krater Stufe 1
Fuji_Crater_02_rm|Fuji Crater Level 2|Fuji-kraatteri, taso 2|Nível 2 da cratera Fuji|Кратер горы Фудзи, Уровень 2|富士陨石坑2级|富士クレーターレベル2|후지 분화구 레벨 2|Fuji-Krater Stufe 2
||||||||
Kaojin_Temple_01_rm|Kaojin Temple 1|Kaojinin temppeli|Kaojin Temple|Храм Каоджин|Kaojin Temple|Kaojin Temple|Kaojin Temple|Kaojin Temple
Kaojin_Temple_02_rm|Kaojin Temple 2|Kaojinin temppeli|Kaojin Temple|Храм Каоджин|Kaojin Temple|Kaojin Temple|Kaojin Temple|Kaojin Temple
||||||||
Underground_Garden_01_rm|Underground Garden 1|Maanalainen Puutarha 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1|Underground Garden 1
Underground_Garden_02_rm|Underground Garden 2|Maanalainen Puutarha 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2|Underground Garden 2
Underground_Garden_03_rm|Underground Garden 3|Maanalainen Puutarha 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3|Underground Garden 3
Underground_Garden_04_rm|Underground Garden 4|Maanalainen Puutarha 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4|Underground Garden 4
Underground_Garden_05_rm|Underground Garden 5|Maanalainen Puutarha 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5|Underground Garden 5
||||||||
Temple_Trapdoor_01_rm|Temple Trapdoor 1|Temppelin Luukku 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1|Temple Trapdoor 1
Temple_Trapdoor_02_rm|Temple Trapdoor 2|Temppelin Luukku 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2|Temple Trapdoor 2
||||||||
Unmarked_Grave_1_rm|Unmarked Grave 1|Merkitsemätön Hauta 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1|Unmarked Grave 1
Unmarked_Grave_2_rm|Unmarked Grave 2|Merkitsemätön Hauta 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2|Unmarked Grave 2
||||||||
Distorted_Horizons_01_rm|Distorted Horizon 1|Vääristynyt Horisontti 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1|Distorted Horizon 1
Distorted_Horizons_02_rm|Distorted Horizon 2|Vääristynyt Horisontti 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2|Distorted Horizon 2
||||||||
Arm_Storage_01_rm|Arm Storage|Asevarasto|Arm Storage|Arm Storage|Arm Storage|Arm Storage|Arm Storage|Arm Storage
Arm_Storage_Easter_egg_rm|Hidden Storage Cabinet|Piilotettu Varastokaappi|Hidden Storage Cabinet|Hidden Storage Cabinet|Hidden Storage Cabinet|Hidden Storage Cabinet|Hidden Storage Cabinet|Hidden Storage Cabinet
||||||||
Niflhel_01_rm|Niflhel|Niflhel|Niflhel|Niflhel|Niflhel|Niflhel|Niflhel|Niflhel
||||||||
Muspelheim_01_rm|Muspelheim|Muspelheim|Muspelheim|Muspelheim|Muspelheim|Muspelheim|Muspelheim|Muspelheim
||||||||
Naga_Temple_01_rm|Naga Temple 1|Naga Temple 1|Naga Temple 1|Naga Temple 1|Naga Temple 1|Naga Temple 1|Naga Temple 1|Naga Temple 1
Naga_Temple_02_rm|Naga Temple 2|Naga Temple 2|Naga Temple 2|Naga Temple 2|Naga Temple 2|Naga Temple 2|Naga Temple 2|Naga Temple 2
||||||||
Gladsheim_Halls_01_rm|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1|Gladsheim Halls 1
Gladsheim_Halls_02_rm|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2|Gladsheim Halls 2
||||||||
Bifrost_rm|Bifröst|Bifröst|Bifröst|Bifröst|Bifröst|Bifröst|Bifröst|Bifröst
Vanaheim_rm|Vanaheim|Vanaheim|Vanaheim|Vanaheim|Vanaheim|Vanaheim|Vanaheim|Vanaheim
Asgard_rm|Asgard|Asgard|Asgard|Asgard|Asgard|Asgard|Asgard|Asgard
Niflheim_rm|Niflheim|Niflheim|Niflheim|Niflheim|Niflheim|Niflheim|Niflheim|Niflheim
Mists_of_Chaos_rm|Mists of Chaos|Mists of Chaos|Mists of Chaos|Mists of Chaos|Mists of Chaos|Mists of Chaos|Mists of Chaos|Mists of Chaos
||||||||
xmas_dungeon_1_rm|North Pole|North Pole|North Pole|North Pole|North Pole|North Pole|North Pole|North Pole
xmas_dungeon_2_rm|Santa's Hut|Santa's Hut|Santa's Hut|Santa's Hut|Santa's Hut|Santa's Hut|Santa's Hut|Santa's Hut
||||||||
Rift_Void_rm|[redacted]|[redaktoitu]|[redigido]|[отредактировано]|[已编辑]|[編集済み]|[수정]|[redigiert]
Rift_Treasure_rm|Rift of Fortune|Rikkauksien Repeämä|Fenda da fortuna|Разлом Богатства|时运|運命の裂け目|행운의 균열|Glücksbruch
||||||||
Old_Copper_Mine_1_rm|Old Copper Mine|Vanha kuparikaivos|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine|Old Copper Mine
Angelic_Realm_rm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm|Angelic Realm
Ruby_Gardens_rm|Ruby Gardens|Rubiinipuutarha|Jardins de Rubi|Рубиновые Сады|红宝石花园|ルビーガーデンズ|루비 정원|Rubinengärten
Shadow_Realm_rm|Shadow Realm|Pimeyden valtakunta|Reino das Sombras|Царство Теней|影子王国|シャドーレルム|그림자 왕국|Schattenreich
Shadow_Boss_rm|Reaper's Breach|Kuoleman tyyssija|Fenda do Ceifador|Разлом Смерти|死神的违反|リーパーズ･ブリーチ|사신의 위반|Übertritt des Sensenmanns
||||||||
crypt|Ancient Crypt|Muinainen krypta|Cripta antiga|Древний Склеп|古老的地下墓室|古代の地下室|고대의 납골당|Alte Krypta
wormhole|Wormhole|Madonreikä|Buraco de minhoca|Червоточина|虫洞|ワームホール|웜홀|Wurmloch
dungeon|Dungeon|Tyrmä|Masmorra|Подземелье|地牢|ダンジョン|던전|Verlies
unstable_rift|Unstable Rift|Epävakaa Repeämä|Falha Instável|Нестабильный Разлом|活跃裂缝|不安定な裂け目|불안정한 움직임|Instabiler Riss
||||||||
Chaos_Tower_01|Cathedral's library|Katedraalin kirjasto|Biblioteca da catedral|Библиотека собора|大教堂的图书馆|大聖堂の図書館|대성당의 도서관|Kathedralenbibliothek
Chaos_Tower_02|Garden|Puutarha|Jardim|Сад|花园|庭園|정원|Garten
Chaos_Tower_03|Pillars|Pylväät|Pilares|Колонны|支柱|柱|기둥|Säulen
Chaos_Tower_04|Dark Pits|Synkät kuopat|Poços Negros|Бездонные Ямы|黑坑|ダークピット|어두운 구덩이|Dunkle Gruben
Chaos_Tower_05|Submerged|Upoksissa|Submerso|Затопленный|湮|水没|잠수함|Untergetaucht
Chaos_Tower_06|Jungle|Viidakko|Selva|Джунгли|丛林|密林|밀림|Dschungel
Chaos_Tower_07|Cemetery|Hautausmaa|Cemitério|Кладбище|公墓|墓地|묘지|Friedhof
Chaos_Tower_08|Bloodpool|Veriallas|Piscina de sangue|Море Крови|血泊|血のプール|피 웅덩이|Blutpfütze
Chaos_Tower_09|Floating ice|Kelluvat jäät|Gelo flutuante|Ледник|浮冰|浮氷|떠 다니는 얼음|Schwimmendes Eis
Chaos_Tower_10|Dark forest|Synkkä metsä|Floresta Negra|Темный Лес|黑暗森林|暗い森|어두운 숲|Dunkler Wald
Chaos_Tower_11|OMGEVERYTHINGISGREEN|VOIEIKAIKKIONVIHREÄÄ|TUDO É VERDE|ВСЕ ЗЕЛЕНОЕ|一切都是绿色的|すべてが緑です|모든 것이 녹색입니다|ALLES IST GRÜN
Chaos_Tower_12|Traprealm|Ansamaailma|Reino da armadilha|Мир Ловушек|陷阱领域|トラップレルム|트랩 영역|Fallenreich
Chaos_Tower_13|Ice spikes|Jääpiikit|Picos de gelo|Ледяные шипы|冰峰|氷のスパイク|얼음 스파이크|Eisspitzen
Chaos_Tower_14|Steam Train? Again?|Höyryjuna? Taasko?|Comboio a vapor? Novamente?|Паровоз? Еще раз?|蒸汽火车？再次？|蒸気機関車？再び？|증기 기관차? 다시?|Dampflokomotive? Nochmal?
Chaos_Tower_15|It's... Empty?|Se on... Tyhjä?|Está vazio?|Оно пустое?|它是空的？|空っぽです？|그건... 비어있어?|Es ist leer?
Chaos_Tower_16|OMGEVERYTHINGISRED|VOIEIKAIKKIONPUNAISTA|TUDO É VERMELHO|ВСЕ КРАСНОЕ|一切都是红色的|すべてが赤です|모든 것이 빨간색입니다|ALLES IST ROT
Chaos_Tower_17|Desert marketplace|Aavikon tori|Mercado do deserto|Рынок в пустыне|沙漠市场|デザートマーケットプレイス|사막 시장|Wüstenmarkt
Chaos_Tower_18|Trippy Hippy Forest|Trippaava hippimetsä|Tropeçando na floresta hippie|Поляна Хиппи|跳嬉皮森林|ヒッピーの森をつまずく|히피 숲 배신|Hippie-Wald stolpern
Chaos_Tower_19|Flower fields|Kukkapellot|Campos de flores|Цветочная Поляна|花田|花畑|꽃밭|Blumenfelder
Chaos_Tower_20|Walls walls walls|Seiniä seiniä seiniä|Paredes paredes paredes|Стены Стены Стены|墙墙墙|壁壁壁|벽 벽 벽|Wände Wände Wände
